date,content,like_count,retweet_count,username,verified
2022-05-11 07:11:08+00:00,"Finally! Chocolate Cheesecake.

Note to self: never be too lazy to bring out the handmixer

#chocolate #cheesecake https://t.co/clPH8pBR9Z",44,4,sb19_stellberry,False
2022-05-11 07:09:56+00:00,"When awesome comes in a box! Get yourself Walkers Chocolates from @highbury_liquor_shop 
#highburyliquorshop #chocolate #thins #liquorshop https://t.co/TqHc37dq6v",0,0,ShopHighbury,False
2022-05-11 07:08:47+00:00,"Best Chocolate in India 2022 ?
#chocolate #dairymilk #fivestar #amul #kitkat
#nifty #nifty50 #niftyoptions #NIFTYFUTURE",0,0,niftydailylevel,False
2022-05-11 07:00:08+00:00,"#chocolate #glutenfree #vegan #dairyfree #allergyfriendly #freefrom top 14 
Get in time to celebrate #coeliacawarenessweek #shinealightoncoeliac 
#coeliac #coeliacfriendly  
https://t.co/z5sbUEcoes code PC22 https://t.co/fq794SQz0l",1,1,nonococoauk,False
2022-05-11 06:57:10+00:00,Alright @ChrisEvans. No need to call us mums out lol!!! Now can we get these into the uk! Or do I have to get a friend to ship them to me @GODIVA #ChrisEvans #chocolate #calledout https://t.co/EQMz9P9ZbD,0,0,gemhorne86,False
2022-05-11 06:20:52+00:00,"“Cakes are special. Every birthday, every celebration ends with something sweet, a cake, and people remember. It’s all about the memories.”
#cake #cakedecorating #cakes #birthdaycake #chocolate #food #dessert #cakesofinstagram #birthday #cakedesign #foodphotography  #cakelover https://t.co/jbHte34yNK",0,0,BakeSquare,False
2022-05-11 06:10:12+00:00,"Yes sir, any #chocolate  item is good including milk. Occasionally I also drink milk, including chocolate ice cream, straw berry chocolate or some butter scotch. It contributes for #economic development. Thanks https://t.co/erVLf1CXh8",0,0,Sriniva41473307,False
2022-05-11 06:10:06+00:00,"Before reading this article, I would have never guessed that AI would make chocolates of all things. Great read, but now I have this urge to both code and eat. Help!?

#AI #Chocolate https://t.co/ogvjoOX0I2",0,0,itsSarweshReddy,False
2022-05-11 06:00:03+00:00,"Will Chocolate be Extinct? Are there any Alternatives? Everything You Need to Know

See: https://t.co/DxmDPTiOwb

#isrgrajan #WednesdayMotivation #chocolate #cocoa #extinct https://t.co/v561rzgrDv",0,0,isrgrajan,False
2022-05-11 05:56:39+00:00,"👉  👈
Rebecca Taylor Womens Ladder Sleeve Dress Chocolate Brown L @buy1_best
#Rebecca #Taylor #Womens #Ladder #Sleeve #Dress #Chocolate #Brown #fashion #lifestyle 

Are you ready to be #pretty?! https://t.co/KZ2kP4te0h",0,0,buy1_best,False
2022-05-11 05:35:15+00:00,"Today, on #NationalTechnologDay, we #CAMPCO express gratitude to our brilliant #scientists and their efforts that led to the successful #Pokhran tests in 1998. #NationalTechnologyDay2022 
#NationalTechnologyDay 
#DigitalIndia #CampcoChocolate #DigitalCampco #Chocolate https://t.co/FHwEShrxO8",1,0,campcochocolate,False
2022-05-11 05:25:47+00:00,"Love at first Bite  💕💞🥰💝
#italiaansedelicatessen #chocolade #chocolate #foodspecialiteiten #thefinest #finefood #finefoods #chocoladewinkel 
https://t.co/p7oaTy9fph https://t.co/nJ4mqCSuwI",1,0,bommelenbommel,False
2022-05-11 05:25:04+00:00,"Did not expect to be blown away by a brownie from a fried chicken restaurant. 

This Katsu sando was also right up my alley. Perfectly done! 

Cheers! #foodie #Foodies #friedchicken #brownie #chocolate https://t.co/jSy93RtS75",14,2,headbangereats,False
2022-05-11 05:15:13+00:00,"May 11th World Ego Awareness Day- Relationship Never Dies a Natural Death, They Are Murdered by Ego but Chocolate can build­­­­­ it #WorldEgoAwarenessDay #Ego #Campco #CampcoChocolate #Chocolate *""To add more sweetness to every relationship""* https://t.co/mMH9Sb95a0",1,0,campcochocolate,False
2022-05-11 05:12:52+00:00,"@BaileySarian Amen, Sister! Half of my grocery order wasn't there. Oh, I got my pears, crackers, paper towels. Where is my #chocolate ? Must be w the missing lighter. U know. For candles. -Palm Springs Fan https://t.co/qk4ry505uA",1,0,normajeanmcd,False
2022-05-11 05:10:04+00:00,"Make your chocolate packaging attractive and unique with our custom made boxes. 
#printwithplusprinters 💯♻️

Get a quote now!

#chocolate #chocolatecake #chocolatecupcakes #retail #retailpackaging #packaging #packagingdesign #wholesale #retailer #cardboard #mailerboxes https://t.co/bVKnDn61Ne",1,0,AUPlusprinters,False
2022-05-11 05:06:36+00:00,Big #thanks 🙏 to Pamela in #NewZealand  for this great way to start the day ! #chocolate #sourdough #crumpets with ☘️@IrishBlkButter 🍏 https://t.co/yYZictIt9f,13,0,IrishBlkButter,False
2022-05-11 05:06:18+00:00,Heart Healthy Benefits Of Chocolate #hearthealth #chocolate #heart https://t.co/Jfb8md6hMO,0,0,VirtualWorldLyn,False
2022-05-11 05:05:03+00:00,"All the chocolate…

#chocolate #drip #maltesers #foxeschocolateyrounds #doughnuts #shards #sprinkles #blue #purple #twirl #21st #birthday #oxford #luluslittleoxfordkitchen https://t.co/jzCBCAoJK7",5,1,Lulusoxford,False
2022-05-11 04:46:03+00:00,"The @LoveGhirardelli Ice Cream &amp; #Chocolate Shop on @TheMagMile is open! World-famous hot fudge sundaes, shakes, malts, cones and other soda fountain treats. Plus your favorite #Ghirardelli chocolates! https://t.co/54gNL7UrqX #Chicago #travel #sightseeing https://t.co/3ufd21Eoen",0,0,eVisitorGuide,False
2022-05-11 04:38:45+00:00,"👉 $79.99 👈
Hot Chocolate Design Chocolaticas Spider Womens Mary Jane Flat Multicoloured HCD 36 @buy1_best
#Hot #Chocolate #Design #Chocolaticas #Spider #Womens #Mary #Jane #fashion #lifestyle 

Are you ready to be #pretty?! https://t.co/B8vSaiXIex",0,0,buy1_best,False
2022-05-11 04:36:02+00:00,I know you like architecture John tells me you love Architecture #chocolate $NRZ $IOST #2022 #tbt,0,0,40dollarbutton,False
2022-05-11 04:19:35+00:00,"Make your celebrations even more special with our celebration cakes starting just at 490/- 
You can order our delicacies on https://t.co/FYI7uJETfj, Swiggy, and Zomato or pick them up from your nearest Aubree store.  

#birthdaycakes #chocolate #alledible #baker #birthday https://t.co/a8mdAEQZ0l",0,0,aubree_le,False
2022-05-11 04:05:00+00:00,"Judge Jasbir Kaur said: “It was an amazing event and no one could ever think they were all vegan chocolate, many competitors had the desirable features of classic chocolate"".

More: https://t.co/ENKv1fBdWU

#veganchocolateawards #vegan #chocolate #events #newzealand #hospbiznz https://t.co/A3UwvghTxx",1,0,HospbizNZ,False
2022-05-11 04:01:02+00:00,"TONY‘S CHOCOLONELY • White chocolate, wafer and blueberries

https://t.co/COXA9dALcZ

#tonyschocolonely #schokolade #chocolate #whitechocolate https://t.co/nNpfiNRA4k",0,0,GlobalFoodNews3,False
2022-05-11 04:00:05+00:00,"Will Chocolate be Extinct? Are there any Alternatives? Everything You Need to Know

See: https://t.co/YfgOFgn6l4

#WednesdayMotivation #ISRGKB #chocolate #cocoa #extinct https://t.co/kaaoDw32ig",0,0,IsrgKb,False
2022-05-11 04:00:04+00:00,"A Moments of tasty Surprise!

Available from
ADK General Trading for wholesale
GT Snap and Ganna Mart for retail
Online orders please visit Ganna Mart App on : https://t.co/PP7ww39wXh
Join our Viber community group at https://t.co/OtiXmT43ZJ

#GTsnap #ADKgt #Bonucci #Chocolate https://t.co/yOrWRWmkZq",0,0,ADK_GT,False
2022-05-11 03:30:00+00:00,"Have you taken your own photos of the ✨extremely Instagrammable✨ display at our #AuroChocolate Cafe in Pasay? https://t.co/omWlCfHmfs

#auro #aurocafe #chocolatecafe #treetobar #chocolate #cafe",0,0,AuroChocolate,False
2022-05-11 03:16:10+00:00,"#SamsClub | Hershey’s S’mores &amp; Sundae Creations Kits 
https://t.co/AUV6dsFjz4
#Snacks #Chocolate #desserts https://t.co/oecaeurEx9",0,0,blackfridaybee,False
2022-05-11 02:46:33+00:00,#thankyou @pistachiopicks and #chocobar for the #win and #chocobar for #being so #kind and #sending me a #box of #vegan #chocolate #looks #amazing and the #packaging is #lovely https://t.co/frYEXmTpPu,0,0,KasanConsulting,False
2022-05-11 02:37:19+00:00,#chocolate Healthy #cookies. #arfood https://t.co/FA3zilXqgn https://t.co/JNRAtmiWVl,2,0,CoskeyBerry,False
2022-05-11 02:13:51+00:00,"Cupcake time #redvelvet #chocolate #darkchocolate #cupcakes #cacaoguru If you “love” ❤️ chocolate share with your friends to follow us on Twitter, Instagram &amp; Facebook and get a free postcard to download at https://t.co/RAMBOHV7dR https://t.co/E59gfObsvD",4,2,cacaoguru1,False
2022-05-11 02:06:33+00:00,#zero candy bars are incredibly underrated. 🤌🤌 #hershey #candy #food #cryptotrading #Coke #chocolate #yum,0,0,KhaosInTexas,False
2022-05-11 02:00:05+00:00,"Will Chocolate be Extinct? Are there any Alternatives? Everything You Need to Know

See: https://t.co/YfgOFgn6l4

#WednesdayMotivation #ISRGKB #chocolate #cocoa #extinct https://t.co/OGMdkICbTL",0,0,IsrgKb,False
2022-05-11 01:36:42+00:00,"Why Is Red Velvet Cake Red? How It Gets Its Color

#chocolate #healthy #dessert #healthyeating
https://t.co/NYe2r0ufFo",2,0,vijaygonsalves3,False
2022-05-11 01:30:00+00:00,"-----------------------------------
📽️  SHORT OF THE DAY:
-----------------------------------
Making Statue of Liberty with #chocolate 📸

A GREAT WAY TO START YOUR DAY at:

https://t.co/CjeoX0imrS

#food #dessert @jackiemmitchell #recipes #chocolate #recipe #foodie #yummy https://t.co/fPN7Z9dCNe",0,0,BeautySkinYourN,False
2022-05-11 01:26:05+00:00,What dreams are made of... #bacon #bourbon #chocolate https://t.co/aPJmnS22AU,0,0,drinksfeed,True
2022-05-11 01:24:24+00:00,What dreams are made of... plus weed OBV #bacon #bourbon #chocolate https://t.co/9ebc1xt84O,0,0,StonedCitizen,False
2022-05-11 01:23:43+00:00,What dreams are made of... #bacon #bourbon #chocolate https://t.co/43kS7THU2Z,0,0,spitorswallow,False
2022-05-11 01:19:30+00:00,@elonmusk I remember it fondly. Now have allergy to #chocolate. Causes #migraines. Sigh.,0,0,NancyPiotrowsk2,False
2022-05-11 01:10:22+00:00,Frozen banoffee cheesecake: Topped with chocolate shavings.  #chocolate #vegetarian #5ingredients–quickeasyfood #book https://t.co/6Y8kHMMmJJ https://t.co/S0JjzQI7sl,3,0,InSeasonRecipes,False
2022-05-11 01:01:01+00:00,"Lindt Store Chocolate ""Haul"" - #chocolate #candy #dessert https://t.co/wX0RGkFIl7",0,0,chocomasse,False
2022-05-11 00:58:55+00:00,"What is your favorite muffin flavor? Sweet blueberry or classic vanilla? Joyoung's pick goes to this delicious chocolate peanut butter muffin 🍫🥰

#Joyoung #effortless #muffin #chocolate #dessert #yummy #EnjoyBeingHealthy https://t.co/xoHlhAvPul",4,0,JoyoungOfficial,False
2022-05-11 00:52:40+00:00,Amazing!!!#coastalescapedesserts #chocolate #Cake #cakes #DESSERT #dessertdreams #dessert #fyp https://t.co/2fLDiwn9Uh,0,0,CoastalDesserts,False
2022-05-11 00:50:28+00:00,Need this ⬇️ and a hug. After taking over 2 hours to get home. #chocolate https://t.co/WUipUnVClA,2,0,Tam_Butterfly,False
